Name,Price
Impact Pure Honey Natural Sweet Forest Honey 2kg,"KSh 1,600"
Regulator FOR 6KG GAS Plus FREE 2M Pipe+ 2 Free Hose Clamps,KSh 650
"Generic USB Wifi Dongle 150Mbps Wifi Antenna Network Adapter,,",KSh 499
Fashion Quality Hoodies Grey Unisex,"KSh 2,200"
Fashion Ladies Pull Neck Sweater Fits Up To Size 12-black,"KSh 1,000"
"Nokia G21, 6.5″ – 64GB ROM+ 4GB RAM Dual SIM, 5050 MAh, Blue","KSh 17,199"
"Nokia 105 (2019); (Dual SIM), (1.77"" ); RAM 4MB;, FM RADIO - Black","KSh 1,640"
Rashnik 2 In One Blender,"KSh 2,629"
Generic Portable Blender,"KSh 1,231"
"Nokia 105 (2019) (Dual SIM), 1.77"" , FM Radio,BLACK","KSh 1,600"
"Generic 12 Inch Light + 2M Stand,Free Gift:Mic+Remote+Clip","KSh 2,500"
Fashion ESM Closed Toe Unique Masaai Mens Open Shoes Genuine Leather Sandals,KSh 699
Velvex Dishwashing Liquid Original 500ml,KSh 85
Superfoam Morning Glory Medium Density Quilted Mattress - Red,"KSh 4,305 - KSh 10,060"
Generic S530 Mini Wireless Bluetooth-compatible V4.1 Sport-Black,KSh 207
"Itel A33 Plus - 5.0"" Dual Sim 16GB + 1GB RAM, Fingerprint,  Blue+ Quality FREE GIFTS","KSh 7,299"
Safisha Disinfectant Lavender 5L Safisha,KSh 729
Fashion Hip Hop Men Cuban Link Chain Bracelet Shiny-Silver,KSh 306
Generic Dustproof Soft Silicone Wireless Bluetooth-compatible-White,KSh 62
C15 Music Paradise Bluetooth Portable Loudspeaker,"KSh 1,493"
Fashion Sexy Women Solid Color Deep V Lace Trim Silk Robe-Purple,KSh 366 - KSh 373
Fashion Shoulder Bags Women's Handbag Sling Bag Crossbody Bag For Ladies,KSh 499
Generic Samsung Galaxy A23 Case Soft 6D Plating Phone Back Cover,KSh 280
"Nokia 5310, [DUAL SIM], 2.4'', (16MB + 8MB), MEMORY CARD SLOT -/ //white","KSh 5,990"
Fashion Back To School Shoes -Quality Genuine Leather,"KSh 618 - KSh 1,040"
Ofia X-19 Universal Ear Earphone - Ofia,KSh 235
Generic HIGH QUALITY STRONG TUMMY TRIMMER EXERCISE KIT,KSh 690
Generic In.pods 13 Wireless Bluetooth Earphone Pods,KSh 699
Fashion 24 Pcs/set French Nails Nail Art Pre-design Acrylic Fake Nail Classical Full Cover Short Whi,KSh 200
